Apr 29 19:26:16.303 VTTY: Console port: waiting connection on tcp port 5017 for protocol IPv4 (FD 9)
Apr 29 19:26:16.310 slot0: C/H/S settings = 0/4/32
Apr 29 19:26:16.310 slot1: C/H/S settings = 0/4/32
Apr 29 19:26:16.527 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x0,JIT on)
Apr 29 19:26:16.527 CPU0: CPU_STATE: Starting CPU (old state=2)...
Apr 29 19:26:16.707 ROM: Microcode has started.
Apr 29 19:26:26.165 ROM: trying to read bootvar 'NO_CP0'
Apr 29 19:26:26.165 ROM: trying to read bootvar 'NO_RANDOM_NUM'
Apr 29 19:26:26.165 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 29 19:26:26.165 ROM: trying to read bootvar 'OFFSET'
Apr 29 19:26:29.997 ROM: trying to read bootvar 'WARM_REBOOT'
Apr 29 19:26:29.999 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80be0788 (size=1)
Apr 29 19:26:30.000 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80be079c (size=1)
Apr 29 19:26:30.066 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x603b5b14 (size=2)
Apr 29 19:26:30.067 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x603bd410 (size=2)
Apr 29 19:26:30.067 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x603bd420 (size=2)
Apr 29 19:26:30.067 ROM: unhandled syscall 0x00000047 at pc=0x60be1f1c (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Apr 29 19:26:30.485 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 29 19:26:30.517 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x603ca8c4 (size=2)
Apr 29 19:40:38.590 CPU0: MTS: read  access to undefined address 0x3c08002c at pc=0x6095ea38 (size=1)
Apr 29 19:40:38.838 CPU0: MTS: read  access to undefined address 0x3c08002c at pc=0x6095ea38 (size=1)
Apr 29 19:40:39.090 CPU0: MTS: read  access to undefined address 0x3c08002c at pc=0x6095ea38 (size=1)
Apr 29 19:40:39.338 CPU0: MTS: read  access to undefined address 0x3c08002c at pc=0x6095ea38 (size=1)
Apr 29 19:40:39.590 CPU0: MTS: read  access to undefined address 0x3c08002c at pc=0x6095ea38 (size=1)
Apr 29 19:40:39.740 C3745_STOP: stopping simulation.
Apr 29 19:40:39.740 CPU0: CPU_STATE: Halting CPU (old state=0)...
Apr 29 19:40:39.754 VM: shutdown procedure engaged.
Apr 29 19:40:39.754 VM_OBJECT: Shutdown of object "slot1"
Apr 29 19:40:39.754 DEVICE: Removal of device slot1, fd=-1, host_addr=0x0, flags=2
Apr 29 19:40:39.754 VM_OBJECT: Shutdown of object "slot0"
Apr 29 19:40:39.754 DEVICE: Removal of device slot0, fd=-1, host_addr=0x0, flags=2
Apr 29 19:40:39.754 VM_OBJECT: Shutdown of object "ns16552"
Apr 29 19:40:39.754 DEVICE: Removal of device ns16552, fd=-1, host_addr=0x0, flags=0
Apr 29 19:40:39.754 VM_OBJECT: Shutdown of object "mem_bswap"
Apr 29 19:40:39.754 DEVICE: Removal of device mem_bswap, fd=-1, host_addr=0x0, flags=0
Apr 29 19:40:39.754 VM_OBJECT: Shutdown of object "rom"
Apr 29 19:40:39.754 DEVICE: Removal of device rom, fd=12, host_addr=0x7f9878200000, flags=1
Apr 29 19:40:39.754 MMAP: unmapping of device 'rom', fd=12, host_addr=0x7f9878200000, len=0x200000
Apr 29 19:40:39.754 VM_OBJECT: Shutdown of object "ram"
Apr 29 19:40:39.754 DEVICE: Removal of device ram, fd=11, host_addr=0x7f9857e00000, flags=34
Apr 29 19:40:39.754 MMAP: unmapping of device 'ram', fd=11, host_addr=0x7f9857e00000, len=0x10000000
Apr 29 19:40:39.781 VM_OBJECT: Shutdown of object "gt96100"
Apr 29 19:40:39.781 DEVICE: Removal of device gt96100, fd=-1, host_addr=0x0, flags=0
Apr 29 19:40:39.781 VM_OBJECT: Shutdown of object "io_fpga"
Apr 29 19:40:39.781 DEVICE: Removal of device io_fpga, fd=-1, host_addr=0x0, flags=0
Apr 29 19:40:39.781 VM_OBJECT: Shutdown of object "ssa"
Apr 29 19:40:39.781 DEVICE: Removal of device ssa, fd=10, host_addr=0x7f98809c2000, flags=2
Apr 29 19:40:39.781 MMAP: unmapping of device 'ssa', fd=10, host_addr=0x7f98809c2000, len=0x7000
Apr 29 19:40:39.781 VM_OBJECT: Shutdown of object "remote_ctrl"
Apr 29 19:40:39.781 DEVICE: Removal of device remote_ctrl, fd=-1, host_addr=0x0, flags=0
Apr 29 19:40:39.781 VM: removing PCI busses.
Apr 29 19:40:39.781 VM: deleting VTTY.
Apr 29 19:40:39.781 VTTY: Console port: closing FD 9
Apr 29 19:40:39.781 VM: deleting system CPUs.
Apr 29 19:40:39.781 CPU0: CPU_STATE: Halting CPU (old state=1)...
Apr 29 19:40:39.797 VM: shutdown procedure completed.
Apr 29 19:48:49.007 VTTY: Console port: waiting connection on tcp port 5017 for protocol IPv4 (FD 9)
Apr 29 19:48:49.007 slot0: C/H/S settings = 0/4/32
Apr 29 19:48:49.008 slot1: C/H/S settings = 0/4/32
Apr 29 19:48:49.210 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x0,JIT on)
Apr 29 19:48:49.210 CPU0: CPU_STATE: Starting CPU (old state=2)...
Apr 29 19:48:49.409 ROM: Microcode has started.
Apr 29 19:49:01.675 ROM: trying to read bootvar 'NO_CP0'
Apr 29 19:49:01.676 ROM: trying to read bootvar 'NO_RANDOM_NUM'
Apr 29 19:49:01.676 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 29 19:49:01.676 ROM: trying to read bootvar 'OFFSET'
Apr 29 19:49:06.134 ROM: trying to read bootvar 'WARM_REBOOT'
Apr 29 19:49:06.136 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80be0788 (size=1)
Apr 29 19:49:06.136 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80be079c (size=1)
Apr 29 19:49:06.202 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x603b5b14 (size=2)
Apr 29 19:49:06.204 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x603bd410 (size=2)
Apr 29 19:49:06.204 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x603bd420 (size=2)
Apr 29 19:49:06.204 ROM: unhandled syscall 0x00000047 at pc=0x60be1f1c (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Apr 29 19:49:06.537 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 29 19:49:06.577 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x603ca8c4 (size=2)
Apr 29 19:49:06.578 CPU0: PCI: read request for device 'gt96100' at pc=0x603cd7e8: bus=0,device=0,function=0,reg=0x00
Apr 29 19:49:06.578 CPU0: PCI: read request for device 'gt96100' at pc=0x603cd7ec: bus=0,device=0,function=0,reg=0x00
Apr 29 19:49:06.578 CPU0: PCI: read request for device 'gt96100' at pc=0x603cd59c: bus=0,device=0,function=0,reg=0x08
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x10
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x10
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x90
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x90
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x14
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x14
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x94
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x94
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x20
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x20
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0xa0
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0xa0
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x04
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x04
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x84
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x84
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x0c
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x0c
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x8c
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x8c
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x10
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x10
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x90
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x90
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x14
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x14
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x94
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x94
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x603cd6e4 (bus=0,device=0,function=1,reg=0x10).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x603cd6e8 (bus=0,device=0,function=1,reg=0x10).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x603cd6e4 (bus=0,device=0,function=1,reg=0x90).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x603cd6e8 (bus=0,device=0,function=1,reg=0x90).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x603cd6e4 (bus=0,device=0,function=1,reg=0x14).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x603cd6e8 (bus=0,device=0,function=1,reg=0x14).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x603cd6e4 (bus=0,device=0,function=1,reg=0x94).
Apr 29 19:49:06.578 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x603cd6e8 (bus=0,device=0,function=1,reg=0x94).
Apr 29 19:49:06.579 CPU0: IO_FPGA: write to unknown addr 0x4c, value=0xf000, pc=0x603caf08 (size=2)
Apr 29 19:49:06.579 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=1,function=0,reg=0x00
Apr 29 19:49:06.579 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=1,function=0,reg=0x00
Apr 29 19:49:06.579 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=1,function=0,reg=0x40
Apr 29 19:49:06.579 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=1,function=0,reg=0x40
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x04
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x04
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x0c
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x0c
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x18
Apr 29 19:49:06.579 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x18
Apr 29 19:49:06.579 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x1c
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x1c
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x20
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x20
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x24
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x24
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x30
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x30
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x3c
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x3c
Apr 29 19:49:06.579 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x64
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x64
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x68
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x68
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=1,function=0,reg=0xf0
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=1,function=0,reg=0xf0
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=2,function=0,reg=0x00
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=2,function=0,reg=0x00
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=2,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=2,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x0c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x0c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x18
Apr 29 19:49:06.580 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x18
Apr 29 19:49:06.580 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x1c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x1c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x20
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x20
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x24
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x24
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x30
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x30
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x3c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x3c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x64
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x64
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x68
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x68
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=2,function=0,reg=0xf0
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=2,function=0,reg=0xf0
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=3,function=0,reg=0x00
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=3,function=0,reg=0x00
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=3,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=3,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x0c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x0c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x18
Apr 29 19:49:06.580 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x18
Apr 29 19:49:06.580 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x1c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x1c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x20
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x20
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x24
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x24
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x30
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x30
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x3c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x3c
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x64
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x64
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x68
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x68
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0x04
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=3,function=0,reg=0xf0
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x603cd6d0: bus=0,device=3,function=0,reg=0xf0
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=4,function=0,reg=0x00
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=4,function=0,reg=0x00
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7f8: bus=0,device=4,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: read request for device 'ti2050b' at pc=0x603cd7fc: bus=0,device=4,function=0,reg=0x40
Apr 29 19:49:06.580 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x603cd6c4: bus=0,device=4,function=0,reg=0x04
